Player Name,Team,Conference,Position,Height,Year,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
Evan Murray,Bethel MN,Minnesota Intercollegiate Athletic,F,76.0,So,19,116,6.1,0.5,1.2,0.435,0.3,0.7,0.357,0.5,0.6,0.75,34,1.8,6,15,23,1.2,11,4,8,2,2,0.2105263157894736,0.1052631578947368,0.7894736842105263,0.3157894736842105,0.1052631578947368,0.4210526315789473,0.5416666666666667,0.5833333333333334,0.5,0.5,0.6147540983606558,0.0815862068965517,11.724137931034482,7.931034482758621,1.3793103448275863,0.6896551724137931,0.6896551724137931,2.7586206896551726,-0.5377945259461349,-0.8419182501177924,0.8599358077447213,-0.13025378673343485
Jack Rosendahl,Bethel MN,Minnesota Intercollegiate Athletic,G,75.0,Jr.,10,43,4.3,0.4,1.6,0.25,0.1,0.7,0.143,0.4,0.6,0.667,13,1.3,2,8,10,1.0,2,2,3,0,1,0.2,0.0,0.8,0.2,0.1,0.3,0.28125,0.4374999999999999,0.6666666666666666,0.3749999999999999,0.3487124463519313,0.1131162790697674,12.093023255813954,9.30232558139535,1.8604651162790695,0.0,0.9302325581395348,2.7906976744186047,-0.9613146722812856,-1.0276128553392279,-0.16247672950110048,-0.13362522330740179
Soren Leafblad,Bethel MN,Minnesota Intercollegiate Athletic,G,69.0,Fr,7,9,1.3,0.4,0.6,0.75,0.4,0.6,0.75,0.0,0.0,0.0,9,1.3,0,1,1,0.1,0,0,0,0,0,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,1.0000000000000002,1.0,0.0,0.0,1.0833333333333337,0.0666666666666666,40.0,4.444444444444445,0.0,0.0,0.0,0.0,-0.839083751821467,0.7500254707431808,5.713336182203277,-1.9372809277703258
Evan Strand,Bethel MN,Minnesota Intercollegiate Athletic,G,75.0,Fr,15,98,6.5,0.2,0.9,0.231,0.0,0.3,0.0,0.2,0.3,0.6,9,0.6,2,15,17,1.1,14,8,8,5,0,0.5333333333333333,0.3333333333333333,1.0,0.1333333333333333,0.0,0.5333333333333333,0.2222222222222222,0.3333333333333333,1.0,0.3333333333333333,0.2906976744186046,0.0921632653061224,3.673469387755102,6.938775510204081,3.265306122448979,2.0408163265306123,0.0,3.265306122448979,-1.4074071033824815,-0.07712287216740116,-1.2793409884122504,0.5938833951647422
Micah Strand,Bethel MN,Minnesota Intercollegiate Athletic,G,72.0,So,5,4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5,1,0.2,0,0,0,0.0,0,0,0,1,0,0.0,0.2,0.0,0.0,0.0,0.0,,,0.0,,0.5681818181818181,0.044,10.0,0.0,0.0,10.0,0.0,0.0,,,,
Dominic Zoa,Bethel MN,Minnesota Intercollegiate Athletic,G,73.0,So,2,5,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,1,0.5,0,0,1,0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,8.0,0.0,0.0,0.0,8.0,-2.352621946756852,-2.509382956776375,-1.734116519495506,1.709993530478305
Matt Drake,Carleton,Minnesota Intercollegiate Athletic,G,70.0,So,26,871,33.5,6.5,13.8,0.468,2.1,4.8,0.435,4.4,5.0,0.878,504,19.4,10,62,73,2.8,36,57,70,21,0,2.1923076923076925,0.8076923076923077,2.3846153846153846,0.3846153846153846,0.0,2.6923076923076925,0.5471014492753623,0.3478260869565217,0.8142857142857143,0.3623188405797101,0.60625,0.0987370838117106,23.14580941446613,3.3524684270952925,2.6176808266360507,0.9644087256027556,0.0,3.214695752009185,-0.16102549833195204,1.0518385074044818,1.3889607245940194,0.3536755149606781
Josh Engelberg,Carleton,Minnesota Intercollegiate Athletic,G,74.0,So,26,858,33.0,5.5,11.8,0.466,1.3,3.9,0.337,2.8,3.5,0.811,393,15.1,13,86,99,3.8,47,60,55,26,5,2.3076923076923075,1.0,3.3076923076923075,0.5,0.1923076923076923,2.1153846153846154,0.521186440677966,0.3305084745762711,1.0909090909090908,0.2966101694915254,0.5659670164917541,0.0796503496503496,18.32167832167832,4.615384615384616,2.7972027972027975,1.2121212121212122,0.2331002331002331,2.564102564102564,0.5321089112395374,0.7043332671135025,0.4163363752070804,-0.1713113941054621
Sam Koelling,Carleton,Minnesota Intercollegiate Athletic,G,77.0,Jr.,26,796,30.6,5.4,9.8,0.551,1.2,3.4,0.364,2.4,3.1,0.788,377,14.5,39,159,200,7.7,39,34,39,21,21,1.3076923076923077,0.8076923076923077,6.115384615384615,1.5,0.8076923076923077,1.5,0.6122448979591836,0.346938775510204,0.8717948717948718,0.3163265306122448,0.649408814045145,0.0630201005025125,18.944723618090453,10.050251256281406,1.708542713567839,1.0552763819095476,1.0552763819095476,1.9597989949748744,2.866241418336068,0.1641942599570776,0.17431310314539722,-0.9073412917420236
Tobias Averill,Carleton,Minnesota Intercollegiate Athletic,F,77.0,So,26,816,31.4,2.9,8.2,0.355,1.4,5.1,0.271,1.7,2.2,0.754,231,8.9,26,99,125,4.8,60,55,47,26,8,2.1153846153846154,1.0,3.807692307692307,1.0,0.3076923076923077,1.8076923076923077,0.4390243902439024,0.6219512195121951,1.1702127659574468,0.2682926829268293,0.4853839441535777,0.0688333333333333,11.323529411764708,6.127450980392157,2.6960784313725488,1.2745098039215683,0.392156862745098,2.303921568627451,0.7126156987727035,0.33164800039720066,-0.49867490753796506,-0.900207867344414
Patrick Smith,Carleton,Minnesota Intercollegiate Athletic,F,80.0,Jr.,23,428,18.6,2.3,4.0,0.593,0.2,0.3,0.667,0.6,0.8,0.684,124,5.4,41,85,129,5.6,62,39,25,16,7,1.6956521739130437,0.6956521739130435,3.695652173913043,1.7826086956521738,0.3043478260869565,1.0869565217391304,0.6,0.075,1.56,0.2,0.6204044117647058,0.0685794392523364,11.58878504672897,12.05607476635514,3.644859813084112,1.4953271028037385,0.6542056074766355,2.336448598130841,2.61159725706004,0.3100354944671986,-1.129606213903245,-0.490763126597643
George Norsman,Carleton,Minnesota Intercollegiate Athletic,F,77.0,Fr,23,237,10.3,1.6,2.6,0.6,0.0,0.0,1.0,1.2,1.7,0.737,101,4.4,12,21,32,1.4,16,9,21,2,5,0.391304347826087,0.0869565217391304,0.9130434782608696,0.5217391304347826,0.217391304347826,0.9130434782608696,0.6153846153846154,0.0,0.4285714285714285,0.6538461538461539,0.6571087216248508,0.1027341772151898,17.046413502109704,5.40084388185654,1.518987341772152,0.3375527426160337,0.8438818565400843,3.5443037974683547,0.8294774706480956,-1.2678813574791972,0.8431709005126375,0.9099085504619747
Omar Kaba,Carleton,Minnesota Intercollegiate Athletic,,80.0,Fr,21,365,17.4,1.4,2.2,0.617,0.0,0.0,0.0,0.9,1.8,0.514,78,3.7,23,44,69,3.3,38,17,19,13,17,0.8095238095238095,0.6190476190476191,2.0952380952380953,1.0952380952380951,0.8095238095238095,0.9047619047619048,0.6363636363636362,0.0,0.8947368421052632,0.8181818181818181,0.6183155080213905,0.0602520547945205,8.547945205479452,7.561643835616438,1.863013698630137,1.4246575342465753,1.863013698630137,2.0821917808219177,1.961694626884042,-1.308755459500663,-0.7076384910884197,0.5888636943531397
Tysen Hayes,Carleton,Minnesota Intercollegiate Athletic,F,79.0,So,25,245,9.8,0.7,2.4,0.295,0.6,2.1,0.269,0.0,0.2,0.25,50,2.0,3,48,50,2.0,20,5,10,3,5,0.2,0.12,1.92,0.12,0.2,0.4,0.4166666666666667,0.8750000000000001,0.5,0.0833333333333333,0.4019292604501607,0.0509714285714285,8.16326530612245,8.16326530612245,0.8163265306122448,0.4897959183673469,0.8163265306122448,1.6326530612244896,-0.9058989781959718,-1.464866201608063,-0.01321967805413439,-1.627892710938889
James Russ,Carleton,Minnesota Intercollegiate Athletic,F,79.0,Fr,5,11,2.2,0.8,1.0,0.8,0.0,0.0,0.0,0.0,0.4,0.0,8,1.6,1,4,5,1.0,0,0,0,0,0,0.0,0.0,0.8,0.2,0.0,0.0,0.8,0.0,0.0,0.4,0.6802721088435375,0.1069090909090909,29.090909090909093,18.18181818181818,0.0,0.0,0.0,0.0,0.9945629180098113,-1.8438311768595899,2.3244083629251824,-0.5968521419229632
Patrick Shobe,Carleton,Minnesota Intercollegiate Athletic,F,78.0,So,6,36,6.0,0.5,1.5,0.333,0.0,0.5,0.0,0.5,0.8,0.6,9,1.5,1,8,9,1.5,5,1,1,0,1,0.1666666666666666,0.0,1.3333333333333333,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5333333333333333,0.4049676025917926,0.0792222222222222,10.0,10.0,1.1111111111111112,0.0,1.1111111111111112,1.1111111111111112,-0.19087927967496832,-1.4519879906548467,-0.44858616287720615,-0.6354517123954001
Will Breall,Carleton,Minnesota Intercollegiate Athletic,G,75.0,So,16,102,6.4,0.6,1.9,0.3,0.3,1.3,0.2,0.1,0.2,0.667,24,1.5,5,6,11,0.7,13,3,10,3,2,0.1875,0.1875,0.375,0.3125,0.125,0.625,0.3947368421052631,0.6842105263157895,0.3,0.1052631578947368,0.3772635814889336,0.1175294117647058,9.411764705882351,4.313725490196079,1.1764705882352942,1.1764705882352942,0.7843137254901961,3.92156862745098,-1.5158201304575958,-1.10016034934077,0.17024660986933596,-0.11145085530577749
Andrew Weber,Carleton,Minnesota Intercollegiate Athletic,G,70.0,So,21,239,11.4,0.5,1.5,0.323,0.3,1.1,0.261,0.0,0.1,0.5,27,1.3,6,19,25,1.2,21,19,8,6,0,0.9047619047619048,0.2857142857142857,0.9047619047619048,0.2857142857142857,0.0,0.3809523809523809,0.4333333333333333,0.7333333333333334,2.375,0.0666666666666666,0.4209844559585492,0.0399330543933054,4.518828451882845,4.184100418410042,3.1799163179916317,1.00418410041841,0.0,1.338912133891213,-2.1285467521484622,1.7172477009047895,-0.8800409379781124,-1.2669993430417752
Marcel Pierre-Louis,Carleton,Minnesota Intercollegiate Athletic,F,79.0,So,19,158,8.3,0.5,1.2,0.455,0.0,0.0,0.0,0.2,0.5,0.4,25,1.3,17,27,44,2.3,25,6,11,2,6,0.3157894736842105,0.1052631578947368,1.4210526315789471,0.8947368421052632,0.3157894736842105,0.5789473684210527,0.4166666666666667,0.0,0.5454545454545454,0.4166666666666667,0.4577464788732395,0.0786075949367088,6.329113924050633,11.139240506329111,1.518987341772152,0.5063291139240507,1.518987341772152,2.7848101265822782,0.8949249253345543,-1.9228370032771476,-1.0176279782746374,0.2788514887012229
Joshua Xiang,Carleton,Minnesota Intercollegiate Athletic,,,Fr,10,29,2.9,0.3,1.1,0.273,0.2,0.8,0.25,0.2,0.4,0.5,10,1.0,1,3,4,0.4,6,1,2,1,0,0.1,0.1,0.3,0.1,0.0,0.2,0.3636363636363636,0.7272727272727273,0.5,0.3636363636363636,0.3918495297805642,0.1129655172413793,13.793103448275865,5.517241379310345,1.3793103448275863,1.3793103448275863,0.0,2.7586206896551726,,,,
Jacob Cook,Concordia Moorhead,Minnesota Intercollegiate Athletic,F,78.0,Sr,26,897,34.5,8.2,15.8,0.519,1.3,3.4,0.398,3.7,4.5,0.819,559,21.5,73,213,289,11.1,52,86,65,26,16,3.3076923076923075,1.0,8.192307692307692,2.8076923076923075,0.6153846153846154,2.5,0.560126582278481,0.2151898734177215,1.323076923076923,0.2848101265822784,0.6046119235095613,0.0922853957636566,24.92753623188406,12.887402452619844,3.8350055741360087,1.1594202898550725,0.7134894091415831,2.898550724637681,4.894721204787727,1.376213639305567,-0.6190297708253348,-0.7970433582228922
Jackson Loge,Concordia Moorhead,Minnesota Intercollegiate Athletic,F,80.0,Sr,27,864,32.0,6.1,11.0,0.557,0.0,0.0,0.0,2.4,5.1,0.474,394,14.6,84,194,281,10.4,59,59,43,27,30,2.185185185185185,1.0,7.185185185185185,3.111111111111111,1.1111111111111112,1.5925925925925926,0.5545454545454546,0.0,1.372093023255814,0.4636363636363636,0.5511929930534581,0.0650972222222222,18.24074074074074,13.009259259259258,2.7314814814814814,1.25,1.3888888888888888,1.9907407407407407,5.193115947745474,0.2573555599221281,-1.4950960393859567,-0.642831756465451
Payton Schell,Concordia Moorhead,Minnesota Intercollegiate Athletic,G,76.0,Fr,27,845,31.3,4.4,10.3,0.43,2.2,5.7,0.386,2.7,3.5,0.777,370,13.7,30,86,116,4.3,62,43,30,30,54,1.5925925925925926,1.1111111111111112,3.185185185185185,1.1111111111111112,2.0,1.1111111111111112,0.5339805825242718,0.5533980582524272,1.4333333333333331,0.3398058252427184,0.5785472972972973,0.0495147928994082,17.514792899408285,5.491124260355029,2.035502958579882,1.4201183431952664,2.556213017751479,1.4201183431952664,1.4788919580063336,0.15244586170621338,-0.018085723488989288,-0.9276712615987698
Peyton Belka,Concordia Moorhead,Minnesota Intercollegiate Athletic,G,73.0,Sr,27,964,35.7,3.9,9.7,0.397,2.4,6.4,0.374,1.9,2.2,0.867,324,12.0,3,73,78,2.9,78,89,59,27,5,3.2962962962962963,1.0,2.7037037037037037,0.1111111111111111,0.1851851851851851,2.185185185185185,0.5257731958762887,0.6597938144329898,1.5084745762711864,0.2268041237113402,0.562429696287964,0.0722697095435684,13.443983402489629,3.236514522821577,3.6929460580912865,1.120331950207469,0.2074688796680497,2.4481327800829873,-0.6614903001403561,1.346182308567836,0.20640206827408084,-0.6520102916172459
Cole Holzer,Concordia Moorhead,Minnesota Intercollegiate Athletic,F,79.0,So,26,421,16.2,1.8,3.8,0.475,0.3,0.9,0.292,1.3,1.9,0.66,135,5.2,31,70,101,3.9,29,34,29,16,8,1.3076923076923077,0.6153846153846154,2.6923076923076925,1.1923076923076923,0.3076923076923077,1.1153846153846154,0.5131578947368421,0.2368421052631579,1.1724137931034482,0.5,0.5608283002588438,0.079895486935867,12.826603325415675,9.596199524940618,3.2304038004750595,1.5201900237529693,0.7600950118764846,2.7553444180522564,1.5460169846008869,-0.07249726841753605,-0.5685797589995838,0.1016993878310873
Justin Courneya,Concordia Moorhead,Minnesota Intercollegiate Athletic,G,73.0,So,27,689,25.5,1.6,4.9,0.316,0.9,3.0,0.284,1.0,1.1,0.897,132,4.9,3,38,41,1.5,38,57,35,14,3,2.111111111111111,0.5185185185185185,1.4074074074074074,0.1111111111111111,0.1111111111111111,1.2962962962962965,0.4183673469387755,0.6122448979591836,1.6285714285714286,0.2244897959183673,0.4550520059435364,0.0586124818577648,7.663280116110305,2.380261248185777,3.3091436865021775,0.8127721335268505,0.1741654571843251,2.0319303338171264,-1.4014270650034575,0.8333461428341832,-0.480172250953942,-0.7174288287351669
Alex Franson,Concordia Moorhead,Minnesota Intercollegiate Athletic,G,73.0,Fr,27,500,18.5,1.4,3.8,0.379,0.6,1.9,0.308,0.5,1.0,0.519,108,4.0,3,46,49,1.8,27,46,35,22,3,1.7037037037037035,0.8148148148148148,1.7037037037037035,0.1111111111111111,0.1111111111111111,1.2962962962962965,0.4473684210526316,0.5,1.3142857142857145,0.2631578947368421,0.4716981132075471,0.07848,8.64,3.92,3.68,1.7599999999999998,0.24,2.8000000000000003,-1.1012019258959322,0.9124933718848248,-0.4011311545033158,0.027934309059476334
