player_name,team,conf,GP,min_pct,ORtg,usg,eFG,TS_pct,ORB_pct,DRB_pct,AST_pct,TOV_pct,FTM,FTA,FT_pct,2PM,2PA,2P_pct,3PM,3PA,3P_pct,Blk_pct,Stl_pct,FTR,yr,PORPAG,adjoe,personal_fouls_per_40,type,Rec_Rank,AST_TOV,rimmade,rim_attempts,midmade,mid_attempts,rim_pct,mid_pct,dunksmade,dunks_attempts,dunk_pct,drtg,adj_drtg,D_PORPAG,stops,bpm,obpm,dbpm,gbpm,mins_per_game,ogbpm,dgbpm,oreb_per_game,dreb_per_game,treb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game,role,3P_per_100_team_pos,height_inches,total_known_fga,rim_share,mid_share,three_share,dunk_rate_at_rim,arch_PC1,arch_PC2,arch_PC3,val_PC1
Jaden Jackson,South Dakota St.,Sum,29,80.6,105.6,20.8,46.2,49.33,2.6,13.0,15.0,11.5,51,65,0.785,59,134,0.44,63,198,0.318,0.4,2.7,19.6,So,1.50127,105.451,2.8,"Bellevue, NE",,1.9756477,38.0,75.0,21.0,59.0,0.5067,0.3559,0.0,0.0,,108.615,110.006,2.68598,170.701,0.181114,0.81842,-0.637306,-0.344757,31.9,-0.473431,0.128674,0.6562,3.5312,4.1875,2.5312,1.5312,0.125,12.25,Combo G,12.4268,72,332.0,0.22590361445783133,0.17771084337349397,0.5963855421686747,0.0,-2.4077313712326682,0.34405268859203364,0.31746679560685787,-0.05699181706742582
Owen Larson,Drake,MVC,25,55.9,101.5,20.3,48.2,52.01,1.6,11.3,19.3,18.1,39,45,0.867,51,92,0.554,36,126,0.286,0.0,1.5,20.6,So,1.25315,104.609,2.9,"Estherville, IA",,1.57777777,39.0,55.0,12.0,37.0,0.7091,0.3243,0.0,0.0,,113.945,113.411,2.05303,110.908,-2.81981,-0.53006,-2.28975,-2.63464,28.844,-1.13546,-1.49918,0.4,2.92,3.32,2.84,0.72,0.0,9.96,Combo G,10.2785,73,218.0,0.25229357798165136,0.16972477064220184,0.5779816513761468,0.0,-2.2494752538996408,0.05530358783994063,0.2704488979211705,-1.2851561380568264
Myles Corey,Rhode Island,A10,32,63.0,110.3,19.5,54.2,58.03,3.9,11.1,14.9,17.9,66,90,0.733,89,140,0.636,18,74,0.243,2.4,3.0,42.1,Sr,1.59296,110.254,2.5,"Ontario, CA",,1.17020698,82.0,121.0,7.0,19.0,0.6777,0.3684,10.0,10.0,1.0,103.021,103.049,2.70711,141.466,2.12865,-0.0991266,2.22777,3.35828,25.3813,0.958804,2.39947,0.8438,2.2812,3.125,1.7188,1.25,0.4688,9.3125,Combo G,5.47122,73,214.0,0.5654205607476636,0.08878504672897196,0.34579439252336447,0.08264462809917356,0.2727290530916218,0.9514926122558268,-0.30259194033763315,1.5933459948306945
Dillon Battie,Wichita St.,Amer,28,36.5,113.5,20.6,55.3,56.9,8.2,19.4,8.6,14.6,53,90,0.589,69,118,0.585,3,15,0.2,2.3,2.4,67.7,So,1.36523,115.007,3.6,"Dallas, TX",56.0,0.91996288,55.0,86.0,14.0,32.0,0.6395,0.4375,13.0,16.0,0.8125,98.3198,97.5726,2.16555,102.682,3.21152,0.331256,2.88027,4.18465,17.3241,1.40957,2.77508,1.3448,3.069,4.4138,0.7931,0.6897,0.3793,7.1034,Wing F,1.80176,80,133.0,0.6466165413533834,0.24060150375939848,0.11278195488721804,0.18604651162790697,2.878758804661756,0.793267282085484,0.2517357179507606,1.6900763178855942
Aiden Tobiason,Temple,Amer,31,88.5,119.0,20.2,54.8,60.11,1.5,11.1,12.0,11.6,120,150,0.8,108,187,0.578,46,136,0.338,0.6,2.1,46.4,So,3.43282,119.965,2.3,"Wilmington, DE",,1.47723631,82.0,124.0,26.0,63.0,0.6613,0.4127,21.0,21.0,1.0,110.12,111.612,2.75394,168.569,1.97758,2.64462,-0.667036,2.57291,35.35,2.40056,0.172348,0.4688,3.1875,3.6562,2.0312,1.2188,0.1875,15.3438,Wing G,7.54665,77,323.0,0.38390092879256965,0.19504643962848298,0.42105263157894735,0.1693548387096774,-0.8292507471328561,0.4225276078726444,-0.07783993581504084,1.911760930198114
Holden Pierre-Louis,Cleveland St.,Horz,28,35.9,87.0,15.2,54.4,52.28,6.1,13.2,12.2,32.7,12,30,0.4,37,66,0.561,0,2,0.0,7.7,0.8,44.1,So,-0.66273,79.5979,7.1,"Potomac, MD",,0.77499441,34.0,59.0,3.0,7.0,0.5763,0.4286,4.0,4.0,1.0,123.088,122.557,0.611598,72.6591,-4.65336,-5.49757,0.844213,-7.61657,15.6733,-6.78497,-0.831605,0.9,1.7667,2.6667,1.0333,0.3,1.1667,3.3333,C,0.260968,80,68.0,0.8676470588235294,0.10294117647058823,0.029411764705882353,0.06779661016949153,3.4377557346349095,-0.5606692955665676,-1.0671128821607616,-3.5238975487463673
Jakai Sanders,Le Moyne,NEC,28,69.1,102.9,22.3,46.1,53.41,2.3,9.9,27.6,20.5,100,134,0.746,61,146,0.418,27,74,0.365,0.0,1.6,60.9,So,1.06292,102.036,2.1,"Brooklyn, NY",,1.76052774,45.0,101.0,16.0,45.0,0.4455,0.3556,2.0,2.0,1.0,110.145,117.205,1.78609,134.341,-4.54291,-1.89713,-2.64578,-3.78012,30.1103,-1.62953,-2.15059,0.5517,2.8966,3.4483,4.3103,0.8966,0.0,10.6552,Scoring PG,4.96529,75,220.0,0.4590909090909091,0.20454545454545456,0.33636363636363636,0.019801980198019802,-0.5435916087159282,2.229460607794398,-0.3970796190553147,-1.462305152324519
Mykolaus Ivanauskas,Mercyhurst,NEC,30,45.5,102.5,20.3,55.3,55.55,9.3,21.0,4.7,17.1,15,27,0.556,91,150,0.607,5,28,0.179,2.5,1.8,15.2,So,0.418526,98.2366,4.7,"Chicago, IL",,0.41176471,63.0,93.0,28.0,57.0,0.6774,0.4912,2.0,2.0,1.0,102.248,108.938,1.68971,109.16,-4.54179,-3.60636,-0.935431,-4.61808,19.4875,-3.12076,-1.49732,1.5938,3.4688,5.0625,0.4375,0.5625,0.4375,7.4375,PF/C,2.94832,80,178.0,0.5224719101123596,0.3202247191011236,0.15730337078651685,0.021505376344086023,2.1379244846248024,-1.0852510795314767,1.0272433457177814,-1.3574463873362739
Sir Mohammed,Notre Dame,ACC,31,40.2,92.4,24.5,45.6,46.87,6.3,12.2,19.1,22.1,24,44,0.545,59,127,0.465,12,42,0.286,1.1,1.8,26.0,So,0.539131,101.679,3.7,"Charlotte, NC",87.0,1.04346661,30.0,58.0,29.0,69.0,0.5172,0.4203,0.0,2.0,0.0,111.784,106.072,1.56124,84.1825,-1.51962,-1.81995,0.300334,-1.87642,16.3548,-1.76202,-0.114406,0.9032,1.7097,2.6129,1.5484,0.4839,0.129,5.7419,Wing G,4.94547,78,169.0,0.3431952662721893,0.40828402366863903,0.2485207100591716,0.034482758620689655,-0.045258445903308124,0.8261622618469661,0.7915458529516797,-1.6578217524314038
Cole Certa,Notre Dame,ACC,31,66.0,119.9,20.8,50.8,56.78,1.8,5.7,6.3,7.2,91,102,0.892,32,81,0.395,81,221,0.367,0.0,0.8,33.8,So,3.20494,126.998,2.3,"Le Roy, IL",76.0,1.23811633,21.0,34.0,11.0,47.0,0.6176,0.234,0.0,0.0,,117.075,111.092,2.10164,105.878,1.32637,4.10332,-2.77694,2.18272,26.8355,3.46807,-1.28535,0.4194,1.3226,1.7419,0.8387,0.3548,0.0,12.8387,Wing G,15.8501,77,302.0,0.11258278145695365,0.15562913907284767,0.7317880794701986,0.0,-2.9871298583109307,-1.693731257250751,0.9131481646680308,0.9238136404897556
