Unnamed: 0,Player Name,Team,Conference,Position,Height,Year,GP,GS,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
858,"Reichart, Andrew",Colorado Christian,Rocky Mountain,F,78,Sr.,28,2,463,16.5,72,126,0.571,1,4,0.25,43,66,0.652,188,6.7,46,74,120,4.3,56,21,22,12,11,0.75,0.4285714285714285,2.642857142857143,1.6428571428571428,0.3928571428571428,0.7857142857142857,0.5753968253968254,0.0317460317460317,0.9545454545454546,0.5238095238095238,0.6062951496388029,0.3823758099352051,16.241900647948164,10.367170626349893,1.8142548596112311,1.036717062634989,0.9503239740820736,1.900647948164147,2.1554387752459543,-0.23163194565251607,-0.07570015107403896,0.24237204212174251
859,"Reed, Zachary",Colorado Christian,Rocky Mountain,G,75,Jr.,24,11,368,15.3,35,88,0.398,28,68,0.412,23,25,0.92,121,5.0,6,28,34,1.4,26,8,13,10,1,0.3333333333333333,0.4166666666666667,1.1666666666666667,0.25,0.0416666666666666,0.5416666666666666,0.5568181818181818,0.7727272727272727,0.6153846153846154,0.2840909090909091,0.6111111111111112,0.3043478260869565,13.152173913043478,3.695652173913043,0.8695652173913043,1.0869565217391304,0.108695652173913,1.4130434782608694,-1.4416042936902924,-2.0705783345587676,1.078147710512911,-1.0686067525065803
860,"House, Jimmy",Colorado Christian,Rocky Mountain,G,75,Jr.,24,0,283,11.8,35,89,0.393,24,69,0.348,8,11,0.727,102,4.3,9,12,21,0.9,33,14,7,11,1,0.5833333333333334,0.4583333333333333,0.5,0.375,0.0416666666666666,0.2916666666666667,0.5280898876404494,0.7752808988764045,2.0,0.1235955056179775,0.5434782608695652,0.3563250883392226,14.416961130742049,2.968197879858657,1.978798586572438,1.5547703180212014,0.1413427561837456,0.989399293286219,-2.939881130445459,-1.2928670975236054,1.0503225756536645,0.7508172417538422
861,"Cantrall, Lincoln",Colorado Christian,Rocky Mountain,F,81,So.,26,6,348,13.4,28,80,0.35,26,67,0.388,8,8,1.0,90,3.5,7,39,46,1.8,19,6,8,2,4,0.2307692307692307,0.0769230769230769,1.5,0.2692307692307692,0.1538461538461538,0.3076923076923077,0.5125,0.8375,0.75,0.1,0.5387931034482759,0.2629885057471264,10.344827586206897,5.287356321839081,0.6896551724137931,0.2298850574712643,0.4597701149425287,0.9195402298850576,-1.5570130664892126,-3.852056759870482,0.5811027699507985,-0.15028620075615573
864,"Guest, Ezra",Colorado Christian,Rocky Mountain,G,71,Jr.,28,8,413,14.8,21,49,0.429,12,33,0.364,2,5,0.4,56,2.0,6,40,46,1.6,39,41,32,9,0,1.4642857142857142,0.3214285714285714,1.4285714285714286,0.2142857142857142,0.0,1.1428571428571428,0.5510204081632653,0.673469387755102,1.28125,0.1020408163265306,0.546875,0.2014527845036319,5.423728813559322,4.455205811138015,3.970944309927361,0.8716707021791767,0.0,3.0992736077481844,-2.9244253950149433,-0.19458547266750031,-0.5979288879194661,-0.6455851991827366
869,"Threatt, Logan",Denver Metropolitan,Rocky Mountain,G,75,Jr.,26,23,768,29.5,133,295,0.451,44,117,0.376,121,136,0.89,431,16.6,19,76,95,3.7,52,67,68,30,1,2.576923076923077,1.1538461538461535,2.923076923076923,0.7307692307692307,0.0384615384615384,2.6153846153846154,0.5254237288135594,0.3966101694915254,0.9852941176470588,0.4610169491525424,0.6073159733964604,0.5505729166666667,22.447916666666664,4.947916666666667,3.489583333333333,1.5625,0.0520833333333333,3.541666666666667,0.4842515134318964,1.8146601140044747,1.1044588214632305,-1.675854097798772
870,"Propst-Allison, Quave",Denver Metropolitan,Rocky Mountain,G,72,Sr.,28,25,833,29.8,135,302,0.447,53,135,0.393,79,99,0.798,402,14.4,15,74,89,3.2,58,92,78,38,4,3.2857142857142856,1.3571428571428572,2.642857142857143,0.5357142857142857,0.1428571428571428,2.7857142857142856,0.5347682119205298,0.4470198675496689,1.1794871794871795,0.3278145695364238,0.5816645445074662,0.5084753901560625,19.30372148859544,4.2737094837935174,4.417767106842737,1.8247298919567827,0.1920768307322929,3.745498199279712,-0.6577580116260683,2.189379104962083,0.6172843399738759,-1.395789354198629
871,"Falls, Garrett",Denver Metropolitan,Rocky Mountain,G,78,Jr.,18,14,471,26.2,72,154,0.468,22,55,0.4,62,79,0.785,228,12.7,13,51,64,3.6,31,30,47,13,3,1.6666666666666667,0.7222222222222222,2.8333333333333335,0.7222222222222222,0.1666666666666666,2.611111111111111,0.538961038961039,0.3571428571428571,0.6382978723404256,0.512987012987013,0.6039415130324222,0.500552016985138,19.363057324840764,5.435244161358811,2.5477707006369426,1.1040339702760085,0.2547770700636942,3.991507430997877,1.218719752879853,0.9441585923293602,0.32033047664561304,-2.1400649942895824
872,"Bethel, Amare",Denver Metropolitan,Rocky Mountain,G,75,R.,26,3,524,20.2,82,194,0.423,31,96,0.323,34,49,0.694,229,8.8,21,42,63,2.4,67,31,50,22,4,1.1923076923076923,0.8461538461538461,1.6153846153846154,0.8076923076923077,0.1538461538461538,1.9230769230769231,0.5025773195876289,0.4948453608247423,0.62,0.2525773195876288,0.5311746149563926,0.506793893129771,17.48091603053435,4.809160305343512,2.366412213740458,1.6793893129770994,0.3053435114503817,3.816793893129771,-0.4111832048198333,0.44857822450195445,-0.2731547914429335,-2.0033509669296117
873,"Hackett, Adam",Denver Metropolitan,Rocky Mountain,F,78,Jr.,28,12,560,20.0,91,197,0.462,23,63,0.365,39,64,0.609,244,8.7,33,84,117,4.2,57,20,39,19,10,0.7142857142857143,0.6785714285714286,3.0,1.1785714285714286,0.3571428571428571,1.3928571428571428,0.5203045685279187,0.3197969543147208,0.5128205128205128,0.3248730964467005,0.5418369159708651,0.4717142857142856,17.42857142857143,8.357142857142858,1.4285714285714284,1.357142857142857,0.7142857142857142,2.7857142857142856,1.153443569961927,-0.4635127787012309,-0.10273432178663214,-0.9824513978746039
