Player Name,Team,Conference,Position,Height,Year,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
"Perry, Deon",Barry,Sunshine,G,68,Sr.,30,860,28.7,156.0,367.0,0.425,66.0,168.0,0.393,121.0,136.0,0.89,499,16.6,13,51,64,2.1,49.0,90,77,33,1,3.0,1.1,1.7,0.4333333333333333,0.0333333333333333,2.566666666666667,0.5149863760217984,0.4577656675749318,1.1688311688311688,0.3705722070844686,0.0194452253771905,0.5858604651162791,23.209302325581397,2.9767441860465116,4.186046511627907,1.5348837209302326,0.0465116279069767,3.581395348837209,-1.2557397975979783,-0.8509072089780493,0.9241010445203607,-0.10953634550394069
"Šarenac, Marko",Barry,Sunshine,F,82,Jr.,29,822,28.3,155.0,298.0,0.52,28.0,85.0,0.329,74.0,98.0,0.755,412,14.2,85,243,328,11.3,50.0,31,51,19,24,1.0689655172413792,0.6551724137931034,8.379310344827585,2.931034482758621,0.8275862068965517,1.7586206896551724,0.5671140939597316,0.285234899328859,0.6078431372549019,0.3288590604026846,0.0208137898686679,0.4770316301703163,20.04866180048662,15.961070559610706,1.5085158150851583,0.924574209245742,1.167883211678832,2.4817518248175183,4.812206018664776,-0.3094257447049921,0.34892685655512795,-2.3727153911596357
"Warren, Tarrance",Barry,Sunshine,G,74,Jr.,29,672,23.2,136.0,310.0,0.439,50.0,157.0,0.318,68.0,90.0,0.756,390,13.4,30,40,70,2.4,55.0,32,36,29,5,1.103448275862069,1.0,1.3793103448275863,1.0344827586206895,0.1724137931034483,1.2413793103448276,0.5193548387096775,0.5064516129032258,0.8888888888888888,0.2903225806451613,0.0191647597254004,0.5738095238095239,23.214285714285715,4.166666666666667,1.9047619047619049,1.7261904761904765,0.2976190476190476,2.142857142857143,-0.26521887583982084,-0.5822145559816976,0.23578101236390556,-0.1526573928844671
"Stanley, Malik",Barry,Sunshine,G,72,Sr.,27,582,21.6,82.0,193.0,0.425,49.0,127.0,0.386,67.0,73.0,0.918,280,10.4,3,45,48,1.8,46.0,56,47,19,5,2.074074074074074,0.7037037037037037,1.6666666666666667,0.1111111111111111,0.1851851851851851,1.7407407407407407,0.5518134715025906,0.6580310880829016,1.1914893617021276,0.3782383419689119,0.0230987917555081,0.4675601374570446,19.243986254295532,3.2989690721649483,3.848797250859106,1.3058419243986257,0.3436426116838488,3.2302405498281788,-1.4624751916715022,-0.8452016727495842,0.3213234590225079,-0.18531281346677295
"Roberts, Adren",Barry,Sunshine,G/F,77,Sr.,4,90,22.5,14.0,19.0,0.737,1.0,4.0,0.25,3.0,4.0,0.75,32,8.0,3,19,22,5.5,8.0,3,6,1,5,0.75,0.25,4.75,0.75,1.25,1.5,0.7631578947368421,0.2105263157894736,0.5,0.2105263157894736,0.1926782273603082,0.2973333333333333,14.222222222222223,9.777777777777777,1.3333333333333333,0.4444444444444445,2.2222222222222223,2.6666666666666665,1.291512087033713,-0.08663310887657183,-0.34409379434171755,-0.6712048031570975
"Van Eyck, Ryan",Barry,Sunshine,G,78,So.,26,584,22.5,63.0,130.0,0.485,11.0,35.0,0.314,47.0,88.0,0.534,184,7.1,17,79,96,3.7,55.0,84,61,20,11,3.230769230769231,0.7692307692307693,3.0384615384615383,0.6538461538461539,0.4230769230769231,2.3461538461538463,0.5269230769230769,0.2692307692307692,1.3770491803278688,0.676923076923077,0.0210407776197249,0.3933561643835616,12.602739726027396,6.575342465753424,5.7534246575342465,1.36986301369863,0.7534246575342465,4.178082191780822,0.617059986171613,0.08065029139685881,-0.6468161179627807,-0.921825795796346
"Tesch, Gui",Barry,Sunshine,F,81,So.,11,206,18.7,23.0,55.0,0.418,8.0,31.0,0.258,21.0,33.0,0.636,75,6.8,11,32,43,3.9,36.0,4,7,10,2,0.3636363636363636,0.9090909090909092,2.909090909090909,1.0,0.1818181818181818,0.6363636363636364,0.4909090909090909,0.5636363636363636,0.5714285714285714,0.6,0.0489067894131185,0.3714563106796116,14.563106796116504,8.349514563106796,0.7766990291262135,1.941747572815534,0.3883495145631067,1.3592233009708736,0.8872896275004063,-0.018713014793056777,-0.9665331882862234,-0.41389116240442414
"Silva, Breno",Barry,Sunshine,F,80,Jr.,29,384,13.2,49.0,119.0,0.412,39.0,103.0,0.379,22.0,29.0,0.759,159,5.5,10,52,62,2.1,39.0,9,7,12,4,0.3103448275862069,0.4137931034482758,1.793103448275862,0.3448275862068966,0.1379310344827586,0.2413793103448276,0.5756302521008403,0.865546218487395,1.2857142857142858,0.2436974789915966,0.0208712811171827,0.3613541666666666,16.5625,6.458333333333334,0.9375,1.25,0.4166666666666666,0.7291666666666667,-0.7324904655160448,-0.9338179728161817,-0.4768086439820102,-0.5549873067838148
"Benitez, Jose",Barry,Sunshine,G,73,Sr.,21,368,17.5,46.0,106.0,0.434,5.0,29.0,0.172,17.0,25.0,0.68,114,5.4,9,33,42,2.0,32.0,63,40,18,1,3.0,0.8571428571428571,1.5714285714285714,0.4285714285714285,0.0476190476190476,1.9047619047619049,0.4575471698113207,0.2735849056603773,1.575,0.2358490566037736,0.023076923076923,0.4266304347826087,12.391304347826086,4.565217391304348,6.847826086956522,1.9565217391304348,0.108695652173913,4.3478260869565215,-0.8863053691309377,-0.4524770758116078,-0.20029250459220277,-0.9606555088543304
"Perovic, Novak",Barry,Sunshine,F,79,Sr.,30,752,25.1,56.0,103.0,0.544,3.0,18.0,0.167,28.0,40.0,0.7,143,4.8,53,102,155,5.2,78.0,91,44,24,12,3.033333333333333,0.8,3.4,1.7666666666666666,0.4,1.4666666666666666,0.558252427184466,0.174757281553398,2.0681818181818183,0.3883495145631068,0.0199004975124378,0.2188829787234042,7.606382978723404,8.24468085106383,4.840425531914894,1.276595744680851,0.6382978723404255,2.3404255319148937,1.5869075942278674,-0.35227012000435376,-0.6035133283127027,-2.1955375836759656
"Bradley III, Michael",Barry,Sunshine,G,75,Jr.,26,447,17.2,33.0,101.0,0.327,27.0,85.0,0.318,18.0,22.0,0.818,111,4.3,15,40,55,2.1,51.0,20,11,28,6,0.7692307692307693,1.0769230769230769,1.5384615384615383,0.5769230769230769,0.2307692307692307,0.4230769230769231,0.4603960396039604,0.8415841584158416,1.818181818181818,0.2178217821782178,0.0194253704372967,0.2722147651006711,9.93288590604027,4.921700223713646,1.789709172259508,2.505592841163311,0.5369127516778524,0.9843400447427292,-1.4165935660779123,-1.2611605346321542,-0.2007506373693476,-1.2045084277334517
"Elkamel, Sami",Barry,Sunshine,F,80,Jr.,23,248,10.8,31.0,49.0,0.633,0.0,0.0,0.0,17.0,32.0,0.531,79,3.4,27,40,67,2.9,28.0,6,19,6,24,0.2608695652173913,0.2608695652173913,1.7391304347826086,1.173913043478261,1.0434782608695652,0.8260869565217391,0.6326530612244898,0.0,0.3157894736842105,0.6530612244897959,0.0269499048826886,0.3309677419354838,12.741935483870968,10.806451612903224,0.967741935483871,0.967741935483871,3.870967741935484,3.064516129032258,1.388583669776292,1.046697009198947,-1.8203888228756036,-0.16823470322470546
"Martinez-Sanchez, Teo",Barry,Sunshine,F,80,Fr.,1,17,17.0,1.0,4.0,0.25,1.0,3.0,0.333,0.0,0.0,0.0,3,3.0,2,4,6,6.0,1.0,2,0,1,1,2.0,1.0,4.0,2.0,1.0,0.0,0.375,0.75,0.0,0.0,0.375,0.2352941176470588,7.058823529411765,14.11764705882353,4.705882352941177,2.3529411764705883,2.3529411764705883,0.0,1.3554311298161812,-0.22798001888425937,-0.5405895506589896,-0.8915522981825416
"Jaid, Noah",Barry,Sunshine,F,80,So.,7,18,2.6,1.0,5.0,0.2,1.0,4.0,0.25,0.0,2.0,0.0,3,0.4,1,3,4,0.6,5.0,0,1,0,1,0.0,0.0,0.4285714285714285,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.3,0.8,0.0,0.4,0.0340136054421768,0.3822222222222222,6.666666666666666,8.88888888888889,0.0,0.0,2.2222222222222223,2.2222222222222223,-1.330927951824529,0.05852045616806787,-2.14039411906791,0.22051195617362365
"Llompart, Miquel",Eckerd,Sunshine,G,76,So.,27,881,32.6,135.0,349.0,0.387,77.0,201.0,0.383,61.0,84.0,0.726,408,15.1,23,93,116,4.3,35.0,52,31,22,11,1.9259259259259256,0.8148148148148148,3.4444444444444446,0.8518518518518519,0.4074074074074074,1.148148148148148,0.497134670487106,0.5759312320916905,1.6774193548387095,0.2406876790830945,0.0195616126023422,0.4732803632236095,18.524404086265605,5.266742338251986,2.3609534619750283,0.9988649262202044,0.4994324631101021,1.4074914869466515,0.22235881107739922,-1.0884204395930788,0.4071138646280546,-1.2248504182704882
"Triestman, Wyatt",Eckerd,Sunshine,F,78,Jr.,25,748,29.9,127.0,308.0,0.412,67.0,183.0,0.366,57.0,71.0,0.803,378,15.1,48,111,159,6.4,62.0,55,53,26,13,2.2,1.04,4.44,1.92,0.52,2.12,0.5211038961038961,0.5941558441558441,1.0377358490566038,0.2305194805194805,0.0222556302322839,0.5243850267379679,20.21390374331551,8.502673796791443,2.9411764705882355,1.390374331550802,0.6951871657754011,2.8342245989304815,1.6678747685576354,-0.7496243788522319,0.4245855525767911,-1.4598330740628427
