player_name,team,conf,GP,min_pct,ORtg,usg,eFG,TS_pct,ORB_pct,DRB_pct,AST_pct,TOV_pct,FTM,FTA,FT_pct,2PM,2PA,2P_pct,3PM,3PA,3P_pct,Blk_pct,Stl_pct,FTR,yr,PORPAG,adjoe,personal_fouls_per_40,type,Rec_Rank,AST_TOV,rimmade,rim_attempts,midmade,mid_attempts,rim_pct,mid_pct,dunksmade,dunks_attempts,dunk_pct,drtg,adj_drtg,D_PORPAG,stops,bpm,obpm,dbpm,gbpm,mins_per_game,ogbpm,dgbpm,oreb_per_game,dreb_per_game,treb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game,role,3P_per_100_team_pos,height_inches,total_known_fga,rim_share,mid_share,three_share,dunk_rate_at_rim,arch_PC1,arch_PC2,arch_PC3,val_PC1,pbp_join_method,pbp_join_warning,pbp_pid,pbp_player_name,pbp_team,pbp_rim_made,pbp_rim_missed,pbp_rim_assisted,pbp_mid_made,pbp_mid_missed,pbp_mid_assisted,pbp_three_made,pbp_three_missed,pbp_three_assisted,pbp_dunk_made,pbp_dunk_missed,pbp_dunk_assisted
Austin Rapp,Wisconsin,B10,30,48.9,120.1,19.5,54.6,57.78,5.3,14.4,12.3,10.8,41,48,0.854,38,69,0.551,58,160,0.362,2.4,1.2,21.0,So,2.62582,125.46,3.3,"Melbourne, Australia",,1.8801152,35.0,56.0,3.0,13.0,0.625,0.2308,6.0,6.0,1.0,110.136,103.014,2.48795,115.952,6.47542,4.81245,1.66298,5.48999,23.1533,4.19101,1.29898,1.0667,2.9,3.9667,1.5667,0.4667,0.5,9.7,Stretch 4,13.4195,82,229.0,0.2445414847161572,0.056768558951965066,0.6986899563318777,0.10714285714285714,1.2666196380438632,-0.4106510025432196,1.0871813531132803,1.1868351488124418,pid,,127877.0,Austin Rapp,Wisconsin,35,21,24,3,10,2,58,102,57,6,0,6
Todd Jones Jr.,Louisiana,SB,33,41.2,111.1,11.9,58.6,58.62,11.5,18.0,3.4,20.3,19,34,0.559,41,69,0.594,0,1,0.0,8.4,2.0,48.6,So,0.292787,97.4922,6.4,"Boothville, LA",68.2,0.42850411,39.0,61.0,2.0,8.0,0.6393,0.25,17.0,18.0,0.9444,105.458,108.087,1.50166,105.67,1.04415,-2.94473,3.98888,-3.15133,16.4667,-4.47825,1.32692,1.6364,2.2424,3.8788,0.2727,0.5152,1.1212,3.0606,C,0.115092,81,70.0,0.8714285714285714,0.11428571428571428,0.014285714285714285,0.29508196721311475,2.432551858923971,2.2314072342772837,-0.5020933344465389,0.9241069225710671,pid,,127878.0,Todd Jones Jr.,Louisiana,39,22,27,2,6,0,0,1,0,17,1,13
Mikah Ballew,Portland,WCC,29,52.6,93.9,19.3,43.8,49.84,1.1,7.6,6.5,16.6,58,69,0.841,24,71,0.338,45,138,0.326,0.4,1.7,33.0,So,0.164765,94.4148,2.8,"Palmdale, CA",,0.74358159,11.0,32.0,13.0,39.0,0.3438,0.3333,1.0,1.0,1.0,115.091,112.844,1.73274,101.55,-4.0545,-2.11141,-1.94309,-3.99195,23.6452,-2.83583,-1.15612,0.2581,1.6129,1.871,0.9355,0.6452,0.0645,8.7419,Combo G,11.6777,77,209.0,0.15311004784688995,0.18660287081339713,0.6602870813397129,0.03125,-0.5748957019898626,0.29316636003054924,1.0945016214371193,0.19434892855231437,pid,,127879.0,Mikah Ballew,Portland,11,21,4,13,26,7,45,93,42,1,0,1
Jamie Phillips Jr.,Stetson,ASun,15,37.6,105.1,26.2,50.8,54.53,3.6,15.8,17.8,14.4,50,71,0.704,58,115,0.504,22,64,0.344,1.0,0.9,39.7,So,2.14582,112.21,2.7,"Winter Haven, FL",,1.38234997,30.0,55.0,28.0,60.0,0.5455,0.4667,2.0,2.0,1.0,119.006,119.153,1.64548,69.4463,-2.9897,-0.245723,-2.74398,-1.04516,30.6882,1.41631,-2.46147,1.0588,4.5294,5.5882,2.7647,0.4118,0.2353,16.0,Wing G,8.06243,77,179.0,0.30726256983240224,0.33519553072625696,0.3575418994413408,0.03636363636363636,1.5781709681542286,-1.024428784662828,0.19006685031232745,0.43962804014044754,pid,,127880.0,Jamie Phillips Jr.,Stetson,30,25,8,28,32,6,22,42,17,2,0,2
Mehki Ellison,Eastern Michigan,MAC,24,27.6,94.6,18.8,45.6,49.25,2.1,8.1,16.9,20.5,16,20,0.8,29,61,0.475,8,29,0.276,0.0,2.5,22.2,Sr,0.00946802,92.5659,3.2,"Flint, MI",,1.36000001,15.0,24.0,14.0,37.0,0.625,0.3784,0.0,0.0,,109.895,109.876,1.1723,53.0137,-4.47237,-3.37631,-1.09607,-4.61241,14.244,-4.28355,-0.328866,0.24,1.08,1.32,1.36,0.64,0.0,4.24,Combo G,5.10416,72,90.0,0.26666666666666666,0.4111111111111111,0.32222222222222224,0.0,-1.2772528385567121,-0.8914792964018569,-0.4646146358084394,0.21377827764671367,pid,,127881.0,Mehki Ellison,Eastern Michigan,15,9,2,14,23,0,8,21,8,0,0,0
Anakin Brown,Jacksonville,ASun,2,0.4,0.0,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0.0,0.0,0.0,So,-0.818614,-0.14637,7.8,"Jacksonville, FL",,3.00030008,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,,123.683,113.755,0.182399,0.435371,-20.6561,-13.6075,-7.04862,-26.3596,9.4,-18.2356,-8.12402,0.6667,1.3333,2.0,1.0,0.6667,0.3333,1.6667,PF/C,12.7043,75,2.0,0.0,0.5,0.5,0.0,-1.6940984811565505,-0.6579857393535405,-1.790451710367935,1.9476102146947,pid,,127882.0,Anakin Brown,Jacksonville,0,0,0,0,1,0,0,1,0,0,0,0
Lamont Jackson,Jacksonville,ASun,2,0.2,200.0,12.8,100.0,100.0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0.0,0.0,0.0,So,0.300811,171.176,0.0,"Columbia, SC",,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,0.0,,124.815,125.239,0.0348454,0.169193,-1.10035,4.12012,-5.22048,15.266,3.975,13.2391,2.02692,0.25,0.25,0.5,0.25,0.25,0.0,2.25,PF/C,0.0,73,1.0,0.0,1.0,0.0,0.0,0.2613754236978162,-1.4473865527711798,0.930993146634855,-1.4451784840506674,pid,,127883.0,Lamont Jackson,Jacksonville,0,0,0,1,0,0,0,0,0,0,0,0
Kent Jackson,North Florida,ASun,30,80.8,103.8,22.7,51.0,53.84,1.5,10.2,13.2,14.8,48,51,0.941,50,101,0.495,99,288,0.344,0.0,1.5,13.1,So,1.45294,105.324,2.5,"Jacksonville, FL",,1.1499733,26.0,51.0,24.0,50.0,0.5098,0.48,0.0,0.0,,125.266,126.001,0.938287,143.603,-3.69777,0.585776,-4.28355,-3.70255,31.8469,0.0286044,-3.73115,0.5,2.8438,3.3438,2.1562,0.9375,0.0,14.7812,Combo G,16.4656,75,389.0,0.13110539845758354,0.12853470437017994,0.7403598971722365,0.0,-0.28884034710633183,-1.0382573023171107,1.083625648911786,-0.21622947496581266,pid,,127884.0,Kent Jackson,North Florida,26,25,9,24,26,2,99,189,72,0,0,0
Enrico Borio,Jacksonville,ASun,19,18.2,87.6,15.5,42.7,44.15,5.0,12.4,6.7,21.6,6,11,0.545,7,11,0.636,9,37,0.243,1.1,1.7,22.9,So,-0.489056,80.1851,3.3,"Curitiba, Brazil",,0.78566073,7.0,9.0,0.0,2.0,0.7778,0.0,0.0,0.0,,116.209,116.297,0.725399,31.0393,-5.1014,-3.51027,-1.59113,-4.80633,12.0952,-3.24456,-1.56177,0.4762,1.2857,1.7619,0.5238,0.3333,0.1429,2.9524,Wing G,10.331,77,48.0,0.1875,0.041666666666666664,0.7708333333333334,0.0,-0.9147247846162839,0.5458859471413374,0.7733688278329877,0.39325896634827046,pid,,127886.0,Enrico Borio,Jacksonville,7,2,3,0,2,0,9,28,8,0,0,0
Jeremiah Evans,Louisiana,SB,32,26.3,91.2,19.1,49.3,54.93,7.6,15.2,5.6,28.3,29,41,0.707,33,67,0.493,0,0,0.0,6.7,2.0,61.2,So,-0.133466,88.8272,10.2,"Shreveport, LA",48.8,0.29994666,19.0,40.0,14.0,27.0,0.475,0.5185,1.0,2.0,0.5,106.736,109.525,0.936423,64.3521,-4.019,-6.28513,2.26612,-7.29086,10.8625,-8.93367,1.64281,0.7188,1.25,1.9688,0.2812,0.3438,0.5938,2.9688,C,0.0,82,67.0,0.5970149253731343,0.40298507462686567,0.0,0.05,1.5500720004399944,2.2829367660949464,-0.6982988400797042,0.5645194386965491,pid,,127887.0,Jeremiah Evans,Louisiana,19,21,11,14,13,3,0,0,0,1,1,1
