Player Name,Team,Conference,Position,Height,Year,source_url,source_method,parse_status,matched_school_name,match_method,row_match_text,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,DRBPG,ORBPG,TOPG,SPG,BPG,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,eFG,three_share,AST_TOV,FTR,TS_pct,usg,PC1,PC2,PC3,PC4
"Brown, Reece",Adelphi,NE-10,Forward,81,Sr.,https://aupanthers.com/sports/mens-basketball/stats,sidearm,stats_parsed_all_players,"Brown, Reece",all_players_table_extract,"23 Brown, Reece  23 Brown, Reece 28 0.0 366 13.1 52 94 0.553 8 23 0.348 16 21 0.762 128 4.6 15 39 54 1.9 40 13 16 4 10 View Bio || 23.0 Brown, Reece  23 Brown, Reece 28 0.0 366 52 94 0.553 8 23 0.348 16 21 0.762 128 4.6",28.0,366.0,13.1,52.0,94.0,0.553,8.0,23.0,0.348,16.0,21.0,0.762,128.0,4.6,15.0,39.0,54.0,1.9,40.0,13.0,16.0,4.0,10.0,0.4642857142857143,1.3928571428571428,0.5357142857142857,0.5714285714285714,0.14285714285714285,0.35714285714285715,14.045801526717558,5.801526717557252,1.4176663031624865,0.43620501635768805,1.0905125408942205,1.7448200654307522,0.5957446808510638,0.24468085106382978,0.8125,0.22340425531914893,0.6199147617202635,,,,,
"Burke, Patrick",Adelphi,NE-10,Center,80,Jr.,https://aupanthers.com/sports/mens-basketball/stats,sidearm,stats_parsed_all_players,"Burke, Patrick",all_players_table_extract,"21 Burke, Patrick  21 Burke, Patrick 30 30.0 907 30.2 137 280 0.489 25 83 0.301 49 72 0.681 348 11.6 70 143 213 7.1 67 62 58 23 14 View Bio || 21.0 Burke, Patrick  21 Burke, Patrick 30 30.0 907 137 280 0.489 25 83 0.301 49 72 0.681 348 11.6",30.0,907.0,30.2,137.0,280.0,0.489,25.0,83.0,0.301,49.0,72.0,0.681,348.0,11.6,70.0,143.0,213.0,7.1,67.0,62.0,58.0,23.0,14.0,2.066666666666667,4.766666666666667,2.3333333333333335,1.9333333333333333,0.7666666666666667,0.4666666666666667,15.364238410596027,9.403973509933776,2.7373068432671084,1.0154525386313467,0.6181015452538632,2.560706401766004,0.5339285714285714,0.29642857142857143,1.0689655172413792,0.2571428571428571,0.5582648870636551,,,,,
"Connor, Al-Fatir",Adelphi,NE-10,Guard,72,Sr.,https://aupanthers.com/sports/mens-basketball/stats,sidearm,stats_parsed_all_players,"Connor, Al-Fatir",all_players_table_extract,"00 Connor, Al-Fatir  00 Connor, Al-Fatir 30 30.0 954 31.8 133 306 0.435 26 78 0.333 52 75 0.693 344 11.5 12 71 83 2.8 55 106 64 37 10 View Bio || 0.0 Connor, Al-Fatir  00 Connor, Al-Fatir 30 30.0 954 133 306 0.435 26 78 0.333 52 75 0.693 344 11.5",30.0,954.0,31.8,133.0,306.0,0.435,26.0,78.0,0.333,52.0,75.0,0.693,344.0,11.5,12.0,71.0,83.0,2.8,55.0,106.0,64.0,37.0,10.0,3.533333333333333,2.3666666666666667,0.4,2.1333333333333333,1.2333333333333334,0.3333333333333333,14.465408805031446,3.5220125786163523,4.444444444444444,1.551362683438155,0.4192872117400419,2.683438155136268,0.477124183006536,0.2549019607843137,1.65625,0.24509803921568626,0.5073746312684366,,,,,
"Jackson, Mason",Adelphi,NE-10,Guard,78,Sr.,https://aupanthers.com/sports/mens-basketball/stats,sidearm,stats_parsed_all_players,"Jackson, Mason",all_players_table_extract,"04 Jackson, Mason  04 Jackson, Mason 27 25.0 842 31.2 121 242 0.5 38 113 0.336 41 64 0.641 321 11.9 22 106 128 4.7 56 47 49 21 18 View Bio || 4.0 Jackson, Mason  04 Jackson, Mason 27 25.0 842 121 242 0.5 38 113 0.336 41 64 0.641 321 11.9",27.0,842.0,31.2,121.0,242.0,0.5,38.0,113.0,0.336,41.0,64.0,0.641,321.0,11.9,22.0,106.0,128.0,4.7,56.0,47.0,49.0,21.0,18.0,1.7407407407407407,3.925925925925926,0.8148148148148148,1.8148148148148149,0.7777777777777778,0.6666666666666666,15.256410256410257,6.0256410256410255,2.2317188983855654,0.9971509971509972,0.8547008547008547,2.3266856600189936,0.5785123966942148,0.4669421487603306,0.9591836734693877,0.2644628099173554,0.5940923896949954,,,,,
"McQueen, Zakari",Adelphi,NE-10,Guard,73,Sr.,https://aupanthers.com/sports/mens-basketball/stats,sidearm,stats_parsed_all_players,"McQueen, Zakari",all_players_table_extract,"02 McQueen, Zakari  02 McQueen, Zakari 29 0.0 442 15.2 56 129 0.434 41 99 0.414 11 12 0.917 164 5.7 2 35 37 1.3 36 20 25 9 6 View Bio || 2.0 McQueen, Zakari  02 McQueen, Zakari 29 0.0 442 56 129 0.434 41 99 0.414 11 12 0.917 164 5.7",29.0,442.0,15.2,56.0,129.0,0.434,41.0,99.0,0.414,11.0,12.0,0.917,164.0,5.7,2.0,35.0,37.0,1.3,36.0,20.0,25.0,9.0,6.0,0.6896551724137931,1.206896551724138,0.06896551724137931,0.8620689655172413,0.3103448275862069,0.20689655172413793,15.0,3.4210526315789473,1.8148820326678767,0.8166969147005445,0.544464609800363,2.268602540834846,0.5930232558139535,0.7674418604651163,0.8,0.09302325581395349,0.6106642835865356,,,,,
"Price, Matthew",Adelphi,NE-10,Guard,74,Gr.,https://aupanthers.com/sports/mens-basketball/stats,sidearm,stats_parsed_all_players,"Price, Matthew",all_players_table_extract,"11 Price, Matthew  11 Price, Matthew 28 7.0 571 20.4 57 158 0.361 33 120 0.275 13 15 0.867 160 5.7 1 27 28 1.0 47 28 13 17 2 View Bio || 11.0 Price, Matthew  11 Price, Matthew 28 7.0 571 57 158 0.361 33 120 0.275 13 15 0.867 160 5.7",28.0,571.0,20.4,57.0,158.0,0.361,33.0,120.0,0.275,13.0,15.0,0.867,160.0,5.7,1.0,27.0,28.0,1.0,47.0,28.0,13.0,17.0,2.0,1.0,0.9642857142857143,0.03571428571428571,0.4642857142857143,0.6071428571428571,0.07142857142857142,11.176470588235295,1.9607843137254903,1.9607843137254903,1.1904761904761905,0.1400560224089636,0.9103641456582634,0.4651898734177215,0.759493670886076,2.1538461538461537,0.0949367088607595,0.4860267314702309,,,,,
"Rancy, Jarnel",Adelphi,NE-10,Forward,80,Sr.,https://aupanthers.com/sports/mens-basketball/stats,sidearm,stats_parsed_all_players,"Rancy, Jarnel",all_players_table_extract,"14 Rancy, Jarnel  14 Rancy, Jarnel 28 28.0 866 30.9 73 122 0.598 2 7 0.286 29 60 0.483 177 6.3 29 119 148 5.3 75 66 38 18 105 View Bio || 14.0 Rancy, Jarnel  14 Rancy, Jarnel 28 28.0 866 73 122 0.598 2 7 0.286 29 60 0.483 177 6.3",28.0,866.0,30.9,73.0,122.0,0.598,2.0,7.0,0.286,29.0,60.0,0.483,177.0,6.3,29.0,119.0,148.0,5.3,75.0,66.0,38.0,18.0,105.0,2.357142857142857,4.25,1.0357142857142858,1.3571428571428572,0.6428571428571429,3.75,8.155339805825243,6.86084142394822,3.051317614424411,0.8321775312066575,4.8543689320388355,1.7568192325473881,0.6065573770491803,0.05737704918032787,1.736842105263158,0.4918032786885246,0.5963611859838275,,,,,
"Walton, Dayshaun",Adelphi,NE-10,Guard,76,Sr.,https://aupanthers.com/sports/mens-basketball/stats,sidearm,stats_parsed_all_players,"Walton, Dayshaun",all_players_table_extract,"01 Walton, Dayshaun  01 Walton, Dayshaun 30 30.0 966 32.2 154 324 0.475 44 109 0.404 117 141 0.83 469 15.6 21 163 184 6.1 55 101 86 45 7 View Bio || 1.0 Walton, Dayshaun  01 Walton, Dayshaun 30 30.0 966 154 324 0.475 44 109 0.404 117 141 0.83 469 15.6",30.0,966.0,32.2,154.0,324.0,0.475,44.0,109.0,0.404,117.0,141.0,0.83,469.0,15.6,21.0,163.0,184.0,6.1,55.0,101.0,86.0,45.0,7.0,3.3666666666666667,5.433333333333334,0.7,2.8666666666666667,1.5,0.23333333333333334,19.37888198757764,7.577639751552795,4.182194616977225,1.8633540372670805,0.2898550724637681,3.561076604554865,0.5432098765432098,0.33641975308641975,1.1744186046511629,0.4351851851851852,0.6074500051808103,,,,,
"Allard, Thomas",Alabama–Huntsville,GSC,Guard,79,Jr.,https://uahchargers.com/sports/mens-basketball/stats/2025-26,sidearm,stats_parsed_all_players,"Allard, Thomas",all_players_table_extract,"03 Allard, Thomas  03 Allard, Thomas 32 32.0 969 30.3 138 337 0.409 56 175 0.32 106 133 0.797 438 13.7 16 140 156 4.9 59 113 65 26 4 View Bio || 3.0 Allard, Thomas  03 Allard, Thomas 32 32.0 969 138 337 0.409 56 175 0.32 106 133 0.797 438 13.7",32.0,969.0,30.3,138.0,337.0,0.409,56.0,175.0,0.32,106.0,133.0,0.797,438.0,13.7,16.0,140.0,156.0,4.9,59.0,113.0,65.0,26.0,4.0,3.53125,4.375,0.5,2.03125,0.8125,0.125,18.085808580858085,6.468646864686469,4.661716171617162,1.0726072607260726,0.16501650165016502,2.6815181518151814,0.49258160237388726,0.5192878338278932,1.7384615384615385,0.39465875370919884,0.5537014563106797,,,,,
"Cooper, Griffin",Alabama–Huntsville,GSC,Forward,80,So.,https://uahchargers.com/sports/mens-basketball/stats/2025-26,sidearm,stats_parsed_all_players,"Cooper, Griffin",all_players_table_extract,"24 Cooper, Griffin  24 Cooper, Griffin 28 10.0 404 14.4 48 74 0.649 0 0 0.0 22 35 0.629 118 4.2 50 53 103 3.7 81 4 26 4 24 View Bio || 24.0 Cooper, Griffin  24 Cooper, Griffin 28 10.0 404 48 74 0.649 0 0 0.0 22 35 0.629 118 4.2",28.0,404.0,14.4,48.0,74.0,0.649,0.0,0.0,0.0,22.0,35.0,0.629,118.0,4.2,50.0,53.0,103.0,3.7,81.0,4.0,26.0,4.0,24.0,0.14285714285714285,1.8928571428571428,1.7857142857142858,0.9285714285714286,0.14285714285714285,0.8571428571428571,11.666666666666666,10.277777777777777,0.39682539682539675,0.39682539682539675,2.380952380952381,2.5793650793650795,0.6486486486486487,0.0,0.15384615384615385,0.47297297297297297,0.6599552572706935,,,,,
