observationKey,season,playerId,playerName,teamName,conference,minutes,bartRole,pbpPlayerId,pbpMatchType,ht_inches,usg_%,TS_%,ORB_%,DRB_%,AST_%,FT_%,FT_rate,TP_%,ast_tov,TOV%,rim_pct_of_total_attempts,rim_%,mid_pct_of_total_attempts,mid_%,threePA_per_100,pct_rim_made_assisted,pct_three_made_assisted,pct_total_made_assisted,blk_%,stl_%,pf_per_40,stops_per_40,A0,A1,A2,A3,A4,A5,A6,A7,primaryArchetype,primaryArchetypeLabel,primaryArchetypeWeight,secondaryArchetype,secondaryArchetypeLabel,secondaryArchetypeWeight,unstableArchetypeFlag,stabilityTier,stabilityNote
135213::2026::Georgia Southern,2026,135213,Sean Van Dorn Jr.,Georgia Southern,SB,16.2,Pure PG,135213,pid_team,78,31.3,75.63,11.9,0,34.7,100.0,40,50.0,0.66680002,0,60.0,66.67,0.0,0.0,13.2782,0.0,100.0,33.33333333333333,0,0,4.4,1.8909382716049385,0.064608,0.0,0.0,0.0,0.571292,0.3641,0.0,0.0,A4,Scoring Playmaker,0.571292,A5,Efficient Play Finisher,0.3641,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
133990::2026::Georgia St.,2026,133990,Christopher Jones,Georgia St.,SB,135.7314,Wing G,133990,pid_team,78,15.5,45.78,7.3,6.8,10.3,100.0,5.9,28.599999999999998,0.85722043,14.4,41.66666666666667,53.33,13.88888888888889,20.0,6.22949,25.0,100.0,46.666666666666664,0.8,1.3,4,5.230182551716109,0.0,0.0,0.193992,0.454757,0.183838,0.0,0.0,0.167413,A3,Two-Way Guard,0.454757,A2,Low-Production Player,0.193992,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
135033::2026::Georgia St.,2026,135033,Isaiah Sherrard,Georgia St.,SB,105.091,Wing G,135033,pid_team,79,15,37.66,2.1,6.6,4.1,50.0,18.2,26.700000000000003,0.42850411,27,21.73913043478261,40.0,8.695652173913043,0.0,8.66089,50.0,100.0,85.71428571428571,4.3,1.7,4.7,5.959825294268776,0.002416,0.0,0.624404,0.206474,0.0,0.0,0.0,0.166706,A2,Low-Production Player,0.624404,A3,Two-Way Guard,0.206474,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134603::2026::Georgia Tech,2026,134603,Brandon Stores Jr.,Georgia Tech,ACC,4.6,PF/C,134603,pid_team,77,16.5,0,0,22.9,0,0.0,0,0.0,0.00000000,0,50.0,0.0,50.0,0.0,0,0.0,0.0,0.0,0,0,8.7,7.27684347826087,0.010273,0.0,0.784762,0.204965,0.0,0.0,0.0,0.0,A2,Low-Production Player,0.784762,A3,Two-Way Guard,0.204965,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
134602::2026::Georgia Tech,2026,134602,Davi Remagen,Georgia Tech,ACC,118.2995,Scoring PG,134602,pid_team,75,13,35.54,1.9,9.8,11.3,57.099999999999994,31.8,0.0,1.33327225,21.8,18.181818181818183,25.0,54.54545454545454,50.0,2.83737,100.0,0.0,42.857142857142854,1,4.7,5.4,8.81423843718697,0.27144,0.0,0.693672,0.0,0.0,0.0,0.0,0.034888,A2,Low-Production Player,0.693672,A0,Perimeter Spacer,0.27144,True,borderline_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
126805::2026::Gonzaga,2026,126805,Cade Orness,Gonzaga,WCC,20.8,Combo G,126805,pid_team,75,19,34.29,0,5.1,6.4,20.0,250,0.0,0.33333333,43.1,100.0,50.0,0.0,0.0,0,100.0,0.0,100.0,0,2.7,3.8,6.807211538461538,0.0,0.0,0.19898,0.517335,0.0,0.0,0.0,0.283685,A3,Two-Way Guard,0.517335,A7,Traditional Big,0.283685,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
78305::2026::Gonzaga,2026,78305,Joaquim ArauzMoore,Gonzaga,WCC,18.9,Scoring PG,78305,pid_team,73,10.3,75.95,6.2,11.3,7.7,0.0,66.7,66.7,1.00000000,0,0.0,0.0,0.0,0.0,9.34751,0.0,50.0,50.0,0,3,6.3,7.883174603174605,0.509249,0.490751,0.0,0.0,0.0,0.0,0.0,0.0,A0,Perimeter Spacer,0.509249,A1,Connecting Guard,0.490751,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
126735::2026::Gonzaga,2026,126735,Noah Haaland,Gonzaga,WCC,44.8,Stretch 4,126735,pid_team,81,19.2,66.89,13,14.3,3.7,100.0,14.3,0.0,0.33333333,19.9,40.0,100.0,26.666666666666668,75.0,5.06323,50.0,0.0,60.0,0,1.3,8,7.105589285714285,0.0,0.0,0.0,0.0,0.45955,0.54045,0.0,0.0,A5,Efficient Play Finisher,0.54045,A4,Scoring Playmaker,0.45955,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
135065::2026::Grambling St.,2026,135065,Chancellor Perkins,Grambling St.,SWAC,78.7552,Combo G,135065,pid_team,74,13.7,62.5,0,12.1,7.1,0.0,0,75.0,1.00000000,35.5,50.0,50.0,16.666666666666664,0.0,3.87664,66.66666666666666,66.66666666666666,66.66666666666666,0,2,2,4.955385803096177,0.0,0.0,0.389029,0.0,0.0,0.554232,0.056738,0.0,A5,Efficient Play Finisher,0.554232,A2,Low-Production Player,0.389029,True,unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
77808::2026::Grambling St.,2026,77808,Nazar Mahmoud,Grambling St.,SWAC,13.55,PF/C,77808,pid_team,77,19.9,52.63,0,0,0,50.0,0,0.0,1.50000000,52.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,1.4783527675276753,0.109349,0.0,0.758753,0.0,0.131897,0.0,0.0,0.0,A2,Low-Production Player,0.758753,A4,Scoring Playmaker,0.131897,True,very_unstable,Below 150 minutes; scored out-of-sample relative to the 150+ minute core_v3 training population.
